,time_in,time_out,id,visit_time
0,2019-02-21 13:13:15,2019-02-21 13:13:33,0007AC9031,0 days 00:00:18.000000000
0,2019-02-21 13:15:41,2019-02-21 13:21:31,0007AC7B4A,0 days 00:05:50.000000000
0,2019-02-21 13:17:01,2019-02-21 13:17:48,0007AC403D,0 days 00:00:47.000000000
0,2019-02-21 13:18:47,2019-02-21 13:20:08,0007AC93ED,0 days 00:01:21.000000000
0,2019-02-21 13:20:11,2019-02-21 13:21:27,00079D4F7C,0 days 00:01:16.000000000
0,2019-02-21 13:57:25,2019-02-21 13:58:06,0007AC9031,0 days 00:00:41.000000000
0,2019-02-21 14:02:25,2019-02-21 14:06:01,0007AC8CF6,0 days 00:03:36.000000000
0,2019-02-21 14:18:14,2019-02-21 14:18:28,0007AC403D,0 days 00:00:14.000000000
0,2019-02-21 14:48:27,2019-02-21 14:48:29,0007AC403D,0 days 00:00:02.000000000
0,2019-02-21 14:54:29,2019-02-21 14:56:33,0007AC93ED,0 days 00:02:04.000000000
0,2019-02-21 14:54:42,2019-02-21 14:57:54,0007AC8CF6,0 days 00:03:12.000000000
0,2019-02-21 14:56:29,2019-02-21 14:57:26,0007AC9031,0 days 00:00:57.000000000
0,2019-02-21 15:03:30,2019-02-21 15:08:20,0007AC7B4A,0 days 00:04:50.000000000
0,2019-02-21 15:03:43,2019-02-21 15:04:59,00079D4F7C,0 days 00:01:16.000000000
0,2019-02-21 15:04:43,2019-02-21 15:04:48,0007AC403D,0 days 00:00:05.000000000
0,2019-02-21 15:36:57,2019-02-21 15:39:45,0007AC8CF6,0 days 00:02:48.000000000
0,2019-02-21 15:39:38,2019-02-21 15:40:25,0007AC9031,0 days 00:00:47.000000000
0,2019-02-21 15:52:49,2019-02-21 15:57:11,0007AC8CF6,0 days 00:04:22.000000000
0,2019-02-21 16:18:40,2019-02-21 16:20:41,0007AC93ED,0 days 00:02:01.000000000
0,2019-02-21 16:18:45,2019-02-21 16:19:09,0007AC9031,0 days 00:00:24.000000000
0,2019-02-21 16:20:12,2019-02-21 16:22:37,0007AC8CF6,0 days 00:02:25.000000000
0,2019-02-21 16:24:27,2019-02-21 16:28:42,0007AC7B4A,0 days 00:04:15.000000000
0,2019-02-21 16:31:56,2019-02-21 16:37:19,0007AC8CF6,0 days 00:05:23.000000000
0,2019-02-21 16:32:36,2019-02-21 16:33:24,0007AC9031,0 days 00:00:48.000000000
0,2019-02-21 17:00:12,2019-02-21 17:01:32,0007AC8CF6,0 days 00:01:20.000000000
0,2019-02-21 17:00:58,2019-02-21 17:01:44,0007AC9031,0 days 00:00:46.000000000
0,2019-02-21 17:02:35,2019-02-21 17:03:07,0007AC93ED,0 days 00:00:32.000000000
0,2019-02-21 17:04:07,2019-02-21 17:05:06,0007AC8CF6,0 days 00:00:59.000000000
0,2019-02-21 17:05:49,2019-02-21 17:07:03,0007AC93ED,0 days 00:01:14.000000000
0,2019-02-21 17:06:17,2019-02-21 17:07:16,00079D4F7C,0 days 00:00:59.000000000
0,2019-02-21 17:14:26,2019-02-21 17:16:11,0007AC8CF6,0 days 00:01:45.000000000
0,2019-02-21 17:18:21,2019-02-21 17:20:50,0007AC7B4A,0 days 00:02:29.000000000
0,2019-02-21 17:33:59,2019-02-21 17:34:12,0007AC9031,0 days 00:00:13.000000000
0,2019-02-21 17:38:48,2019-02-21 17:39:39,0007AC93ED,0 days 00:00:51.000000000
0,2019-02-21 17:39:08,2019-02-21 17:39:44,0007AC9031,0 days 00:00:36.000000000
0,2019-02-21 17:41:37,2019-02-21 17:44:45,0007AC8CF6,0 days 00:03:08.000000000
0,2019-02-21 17:55:16,2019-02-21 17:59:24,0007AC7B4A,0 days 00:04:08.000000000
0,2019-02-21 17:58:51,2019-02-21 17:59:10,0007AC403D,0 days 00:00:19.000000000
0,2019-02-21 17:59:40,2019-02-21 18:00:00,0007AC9031,0 days 00:00:20.000000000
