Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
3837;22-02-2019;07:59:57;40;-;Trovan Unique;0007B0F1CE;-;00000000;00000000;-;""
3838;22-02-2019;08:03:07;40;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3839;22-02-2019;08:03:08;40;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3840;22-02-2019;08:03:09;40;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3841;22-02-2019;08:03:10;40;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3842;22-02-2019;08:03:10;40;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3843;22-02-2019;08:03:11;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3844;22-02-2019;08:03:12;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3845;22-02-2019;08:03:13;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3846;22-02-2019;08:03:31;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3847;22-02-2019;08:03:31;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3848;22-02-2019;08:03:32;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3849;22-02-2019;08:03:32;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3850;22-02-2019;08:03:33;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3851;22-02-2019;08:03:33;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3852;22-02-2019;08:03:33;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3853;22-02-2019;08:03:34;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3854;22-02-2019;08:03:34;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3855;22-02-2019;08:03:37;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3856;22-02-2019;08:03:38;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3857;22-02-2019;08:03:38;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3858;22-02-2019;08:03:39;30;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3859;22-02-2019;08:03:41;20;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3860;22-02-2019;08:03:43;10;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3861;22-02-2019;08:03:44;10;-;Trovan Unique;0007AC9031;-;00000000;00000000;-;""
3862;22-02-2019;08:04:09;40;-;Trovan Unique;0007B117A4;-;00000000;00000000;-;""
3863;22-02-2019;08:04:10;40;-;Trovan Unique;0007B117A4;-;00000000;00000000;-;""
3864;22-02-2019;08:05:55;10;-;Trovan Unique;0007ABAFBF;-;00000000;00000000;-;""
3865;22-02-2019;08:09:21;10;-;Trovan Unique;0007AC4333;-;00000000;00000000;-;""
3866;22-02-2019;08:09:22;10;-;Trovan Unique;0007AC4333;-;00000000;00000000;-;""
3867;22-02-2019;08:14:51;40;-;Trovan Unique;0007AC7B4A;-;00000000;00000000;-;""
3868;22-02-2019;08:17:50;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3869;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3870;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3871;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3872;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3873;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
3874;22-02-2019;08:17:51;10;-;Trovan Unique;0007AC93ED;-;00000000;00000000;-;""
