,Unnamed: 0,id1,id2,duration,start,end,Date,trip
0,0,0007AC7B4A,0007AC403D,0 days 00:00:47,2019-02-21 13:17:01,2019-02-21 13:17:48,2019-02-21,8
1,1,0007AC7B4A,0007AC93ED,0 days 00:01:21,2019-02-21 13:18:47,2019-02-21 13:20:08,2019-02-21,8
2,2,0007AC7B4A,00079D4F7C,0 days 00:01:16,2019-02-21 13:20:11,2019-02-21 13:21:27,2019-02-21,8
3,3,0007AC93ED,0007AC8CF6,0 days 00:01:51,2019-02-21 14:54:42,2019-02-21 14:56:33,2019-02-21,8
4,4,0007AC93ED,0007AC9031,0 days 00:00:04,2019-02-21 14:56:29,2019-02-21 14:56:33,2019-02-21,8
5,5,0007AC8CF6,0007AC9031,0 days 00:00:57,2019-02-21 14:56:29,2019-02-21 14:57:26,2019-02-21,8
6,6,0007AC7B4A,00079D4F7C,0 days 00:01:16,2019-02-21 15:03:43,2019-02-21 15:04:59,2019-02-21,8
7,7,0007AC7B4A,0007AC403D,0 days 00:00:05,2019-02-21 15:04:43,2019-02-21 15:04:48,2019-02-21,8
8,8,00079D4F7C,0007AC403D,0 days 00:00:05,2019-02-21 15:04:43,2019-02-21 15:04:48,2019-02-21,8
9,9,0007AC8CF6,0007AC9031,0 days 00:00:07,2019-02-21 15:39:38,2019-02-21 15:39:45,2019-02-21,8
10,10,0007AC93ED,0007AC9031,0 days 00:00:24,2019-02-21 16:18:45,2019-02-21 16:19:09,2019-02-21,8
11,11,0007AC93ED,0007AC8CF6,0 days 00:00:29,2019-02-21 16:20:12,2019-02-21 16:20:41,2019-02-21,8
12,12,0007AC8CF6,0007AC9031,0 days 00:00:48,2019-02-21 16:32:36,2019-02-21 16:33:24,2019-02-21,8
13,13,0007AC8CF6,0007AC9031,0 days 00:00:34,2019-02-21 17:00:58,2019-02-21 17:01:32,2019-02-21,8
14,14,0007AC93ED,00079D4F7C,0 days 00:00:46,2019-02-21 17:06:17,2019-02-21 17:07:03,2019-02-21,8
15,15,0007AC93ED,0007AC9031,0 days 00:00:31,2019-02-21 17:39:08,2019-02-21 17:39:39,2019-02-21,8
16,16,0007AC7B4A,0007AC403D,0 days 00:00:19,2019-02-21 17:58:51,2019-02-21 17:59:10,2019-02-21,8
0,0,0007AC7B4A,0007AC93ED,0 days 00:00:35,2019-02-22 08:21:14,2019-02-22 08:21:49,2019-02-22,8
1,1,0007AC93ED,0007AC403D,0 days 00:00:04,2019-02-22 08:23:06,2019-02-22 08:23:10,2019-02-22,8
2,2,0007AC403D,0007AC9031,0 days 00:00:15,2019-02-22 08:42:45,2019-02-22 08:43:00,2019-02-22,8
3,3,0007AC403D,0007AC8CF6,0 days 00:00:29,2019-02-22 08:47:35,2019-02-22 08:48:04,2019-02-22,8
4,4,0007AC403D,0007AC9031,0 days 00:00:58,2019-02-22 08:49:13,2019-02-22 08:50:11,2019-02-22,8
5,5,0007AC403D,0007ABA0DB,0 days 00:00:24,2019-02-22 08:50:02,2019-02-22 08:50:26,2019-02-22,8
6,6,0007AC9031,0007ABA0DB,0 days 00:00:09,2019-02-22 08:50:02,2019-02-22 08:50:11,2019-02-22,8
7,7,0007AC7B4A,0007AC93ED,0 days 00:01:35,2019-02-22 09:17:14,2019-02-22 09:18:49,2019-02-22,8
8,8,0007AC7B4A,0007AC403D,0 days 00:00:22,2019-02-22 09:18:27,2019-02-22 09:18:49,2019-02-22,8
9,9,0007AC93ED,0007AC403D,0 days 00:00:24,2019-02-22 09:18:27,2019-02-22 09:18:51,2019-02-22,8
10,10,0007AC93ED,0007AC403D,0 days 00:00:36,2019-02-22 10:31:33,2019-02-22 10:32:09,2019-02-22,8
11,11,0007AC9031,0007B117A4,0 days 00:00:27,2019-02-22 11:11:14,2019-02-22 11:11:41,2019-02-22,8
12,12,0007B117A4,0007AC8CF6,0 days 00:00:29,2019-02-22 11:13:04,2019-02-22 11:13:33,2019-02-22,8
13,13,0007B117A4,0007AC4333,0 days 00:00:48,2019-02-22 11:13:23,2019-02-22 11:14:11,2019-02-22,8
14,14,0007B117A4,0007ABA0DB,0 days 00:00:29,2019-02-22 11:15:03,2019-02-22 11:15:32,2019-02-22,8
