Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
6678;16-02-2019;07:11:58;10;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6679;16-02-2019;07:28:53;10;-;Trovan Unique;0007B0C85F;-;00000000;00000000;-;""
6680;16-02-2019;07:28:59;10;-;Trovan Unique;0007B0C85F;-;00000000;00000000;-;""
6681;16-02-2019;07:41:44;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6682;16-02-2019;07:41:44;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6683;16-02-2019;07:41:44;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6684;16-02-2019;07:41:45;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6685;16-02-2019;07:41:45;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6686;16-02-2019;07:41:45;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6687;16-02-2019;07:41:46;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6688;16-02-2019;07:41:46;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6689;16-02-2019;07:41:46;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6690;16-02-2019;07:41:46;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6691;16-02-2019;07:41:47;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6692;16-02-2019;07:41:47;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6693;16-02-2019;07:41:47;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6694;16-02-2019;07:41:48;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6695;16-02-2019;07:41:48;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6696;16-02-2019;07:41:48;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6697;16-02-2019;07:41:53;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6698;16-02-2019;07:41:53;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6699;16-02-2019;07:41:54;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6700;16-02-2019;07:41:54;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6701;16-02-2019;07:41:54;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6702;16-02-2019;07:41:54;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6703;16-02-2019;07:41:55;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6704;16-02-2019;07:41:55;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6705;16-02-2019;07:41:55;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6706;16-02-2019;07:41:56;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6707;16-02-2019;07:41:56;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6708;16-02-2019;07:41:56;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6709;16-02-2019;07:42:10;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6710;16-02-2019;07:42:10;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6711;16-02-2019;07:42:10;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6712;16-02-2019;07:42:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6713;16-02-2019;07:42:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6714;16-02-2019;07:42:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6715;16-02-2019;07:42:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6716;16-02-2019;07:42:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6717;16-02-2019;07:42:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6718;16-02-2019;07:42:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6719;16-02-2019;07:42:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6720;16-02-2019;07:42:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6721;16-02-2019;07:42:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6722;16-02-2019;07:42:22;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6723;16-02-2019;07:42:23;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6724;16-02-2019;07:42:23;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6725;16-02-2019;07:42:23;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6726;16-02-2019;07:42:24;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6727;16-02-2019;07:42:24;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6728;16-02-2019;07:42:25;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6729;16-02-2019;07:42:25;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6730;16-02-2019;07:42:26;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6731;16-02-2019;07:42:26;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6732;16-02-2019;07:42:26;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6733;16-02-2019;07:42:26;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6734;16-02-2019;07:42:27;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6735;16-02-2019;07:42:27;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6736;16-02-2019;07:43:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6737;16-02-2019;07:43:11;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6738;16-02-2019;07:43:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6739;16-02-2019;07:43:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6740;16-02-2019;07:43:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6741;16-02-2019;07:43:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6742;16-02-2019;07:43:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6743;16-02-2019;07:43:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6744;16-02-2019;07:43:13;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6745;16-02-2019;07:43:14;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6746;16-02-2019;07:43:14;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6747;16-02-2019;07:43:14;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6748;16-02-2019;07:43:14;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6749;16-02-2019;07:43:15;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6750;16-02-2019;07:43:15;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6751;16-02-2019;07:45:38;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6752;16-02-2019;07:45:38;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6753;16-02-2019;07:45:39;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6754;16-02-2019;07:45:39;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6755;16-02-2019;07:45:39;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6756;16-02-2019;07:45:40;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6757;16-02-2019;07:45:40;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6758;16-02-2019;07:45:40;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6759;16-02-2019;07:45:40;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6760;16-02-2019;07:45:41;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6761;16-02-2019;07:45:41;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6762;16-02-2019;07:48:00;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6763;16-02-2019;07:48:01;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6764;16-02-2019;07:48:01;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6765;16-02-2019;07:48:01;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6766;16-02-2019;07:48:04;20;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6767;16-02-2019;07:48:05;20;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6768;16-02-2019;07:48:10;20;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6769;16-02-2019;07:48:11;20;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6770;16-02-2019;07:48:12;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6771;16-02-2019;08:06:15;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6772;16-02-2019;08:06:16;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6773;16-02-2019;08:06:16;10;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6774;16-02-2019;08:06:38;40;-;Trovan Unique;000783A7E6;-;00000000;00000000;-;""
6775;16-02-2019;08:17:33;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6776;16-02-2019;08:17:34;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6777;16-02-2019;08:17:34;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6778;16-02-2019;08:17:35;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6779;16-02-2019;08:17:36;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6780;16-02-2019;08:17:36;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6781;16-02-2019;08:17:37;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6782;16-02-2019;08:17:38;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6783;16-02-2019;08:22:56;10;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6784;16-02-2019;08:34:07;40;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6785;16-02-2019;08:37:25;10;-;Trovan Unique;0007B0C85F;-;00000000;00000000;-;""
6786;16-02-2019;09:12:38;10;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6787;16-02-2019;09:24:50;40;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
