Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1933;22-02-2019;06:57:01;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1934;22-02-2019;06:57:26;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1935;22-02-2019;06:57:31;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1936;22-02-2019;06:57:34;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1937;22-02-2019;06:57:34;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1938;22-02-2019;06:57:34;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1939;22-02-2019;06:57:44;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1940;22-02-2019;06:57:45;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1941;22-02-2019;06:57:46;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1942;22-02-2019;06:57:46;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1943;22-02-2019;06:57:47;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1944;22-02-2019;06:57:48;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1945;22-02-2019;06:57:58;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1946;22-02-2019;06:58:05;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1947;22-02-2019;06:58:22;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1948;22-02-2019;06:58:24;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1949;22-02-2019;06:58:43;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1950;22-02-2019;06:58:44;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1951;22-02-2019;06:58:56;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1952;22-02-2019;06:58:58;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1953;22-02-2019;06:58:58;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1954;22-02-2019;06:58:58;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1955;22-02-2019;06:58:59;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1956;22-02-2019;06:58:59;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1957;22-02-2019;06:58:59;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1958;22-02-2019;06:58:59;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1959;22-02-2019;06:59:00;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1960;22-02-2019;06:59:00;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1961;22-02-2019;06:59:00;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1962;22-02-2019;06:59:01;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1963;22-02-2019;06:59:01;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1964;22-02-2019;06:59:01;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1965;22-02-2019;06:59:01;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1966;22-02-2019;06:59:02;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1967;22-02-2019;06:59:09;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1968;22-02-2019;06:59:09;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1969;22-02-2019;06:59:09;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1970;22-02-2019;06:59:10;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1971;22-02-2019;06:59:10;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1972;22-02-2019;06:59:11;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1973;22-02-2019;06:59:11;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1974;22-02-2019;06:59:11;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1975;22-02-2019;06:59:12;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1976;22-02-2019;06:59:12;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1977;22-02-2019;06:59:13;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1978;22-02-2019;06:59:13;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1979;22-02-2019;06:59:13;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1980;22-02-2019;06:59:14;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1981;22-02-2019;06:59:32;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1982;22-02-2019;06:59:32;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1983;22-02-2019;07:02:16;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1984;22-02-2019;07:02:16;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1985;22-02-2019;07:02:18;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1986;22-02-2019;07:02:18;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1987;22-02-2019;07:02:19;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1988;22-02-2019;07:02:19;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1989;22-02-2019;07:02:20;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1990;22-02-2019;07:02:20;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1991;22-02-2019;07:02:44;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1992;22-02-2019;07:02:45;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1993;22-02-2019;07:02:45;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1994;22-02-2019;07:02:46;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1995;22-02-2019;07:02:46;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1996;22-02-2019;07:02:46;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1997;22-02-2019;07:02:49;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1998;22-02-2019;07:02:49;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
1999;22-02-2019;07:02:50;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2000;22-02-2019;07:02:50;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2001;22-02-2019;07:07:22;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2002;22-02-2019;07:07:22;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2003;22-02-2019;07:07:22;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2004;22-02-2019;07:07:23;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2005;22-02-2019;07:07:23;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2006;22-02-2019;07:07:23;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2007;22-02-2019;07:07:28;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2008;22-02-2019;07:07:30;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2009;22-02-2019;07:07:30;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2010;22-02-2019;07:07:34;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2011;22-02-2019;07:07:34;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2012;22-02-2019;07:07:35;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2013;22-02-2019;07:07:35;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2014;22-02-2019;07:07:36;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2015;22-02-2019;07:07:36;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2016;22-02-2019;07:07:36;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2017;22-02-2019;07:07:37;20;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2018;22-02-2019;07:07:37;10;-;Trovan Unique;0007ACC57C;-;00000000;00000000;-;""
2019;22-02-2019;07:07:37;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2020;22-02-2019;07:07:38;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2021;22-02-2019;07:08:12;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2022;22-02-2019;07:08:12;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2023;22-02-2019;07:08:14;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2024;22-02-2019;07:08:14;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2025;22-02-2019;07:08:14;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2026;22-02-2019;07:08:14;10;-;Trovan Unique;000783DBAA;-;00000000;00000000;-;""
2027;22-02-2019;07:08:50;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2028;22-02-2019;07:08:56;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2029;22-02-2019;07:08:56;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2030;22-02-2019;07:08:57;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2031;22-02-2019;07:08:57;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2032;22-02-2019;07:08:57;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2033;22-02-2019;07:08:57;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2034;22-02-2019;07:08:58;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2035;22-02-2019;07:08:58;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2036;22-02-2019;07:08:58;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2037;22-02-2019;07:08:59;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
