,Unnamed: 0,id1,id2,duration,start,end,Date,trip
0,0,0007ACBDD4,000783CF1A,0 days 00:00:43,2019-02-21 07:06:35,2019-02-21 07:07:18,2019-02-21,8
0,0,000783CF1A,000783DBAA,0 days 00:00:08,2019-02-22 07:10:06,2019-02-22 07:10:14,2019-02-22,8
1,1,0007ACBDD4,000783DBAA,0 days 00:00:32,2019-02-22 07:20:32,2019-02-22 07:21:04,2019-02-22,8
2,2,000783DBAA,0007AFE2EB,0 days 00:00:17,2019-02-22 07:22:57,2019-02-22 07:23:14,2019-02-22,8
3,3,0007AFE2EB,000783DBAA,0 days 00:00:07,2019-02-22 08:24:42,2019-02-22 08:24:49,2019-02-22,8
4,4,0007AFE2EB,000783DBAA,0 days 00:00:16,2019-02-22 08:24:57,2019-02-22 08:25:13,2019-02-22,8
5,5,0007AFE2EB,000783DBAA,0 days 00:00:12,2019-02-22 08:55:45,2019-02-22 08:55:57,2019-02-22,8
6,6,000783CF1A,000783DBAA,0 days 00:00:17,2019-02-22 09:46:17,2019-02-22 09:46:34,2019-02-22,8
7,7,0007AFE2EB,000783DBAA,0 days 00:00:25,2019-02-22 10:39:33,2019-02-22 10:39:58,2019-02-22,8
8,8,0007ACBDD4,000783DBAA,0 days 00:00:10,2019-02-22 11:31:33,2019-02-22 11:31:43,2019-02-22,8
9,9,000783CF1A,000783DBAA,0 days 00:00:04,2019-02-22 11:42:12,2019-02-22 11:42:16,2019-02-22,8
10,10,0007ACBDD4,000783DBAA,0 days 00:00:05,2019-02-22 12:13:27,2019-02-22 12:13:32,2019-02-22,8
11,11,0007ACBDD4,0007AFE2EB,0 days 00:00:17,2019-02-22 12:14:06,2019-02-22 12:14:23,2019-02-22,8
12,12,0007AFE2EB,000783DBAA,0 days 00:00:09,2019-02-22 12:44:20,2019-02-22 12:44:29,2019-02-22,8
13,13,0007ACBDD4,000783DBAA,0 days 00:00:10,2019-02-22 13:12:30,2019-02-22 13:12:40,2019-02-22,8
14,14,000783CF1A,000783DBAA,0 days 00:00:04,2019-02-22 13:52:33,2019-02-22 13:52:37,2019-02-22,8
15,15,000783CF1A,000783DBAA,0 days 00:00:22,2019-02-22 13:52:41,2019-02-22 13:53:03,2019-02-22,8
16,16,0007AC2B31,000783DBAA,0 days 00:00:04,2019-02-22 15:40:47,2019-02-22 15:40:51,2019-02-22,8
17,17,0007AC2B31,000783DBAA,0 days 00:00:04,2019-02-22 15:41:04,2019-02-22 15:41:08,2019-02-22,8
18,18,0007AC2B31,000783DBAA,0 days 00:00:06,2019-02-22 15:41:16,2019-02-22 15:41:22,2019-02-22,8
19,19,0007AC2B31,000783DBAA,0 days 00:00:06,2019-02-22 15:41:30,2019-02-22 15:41:36,2019-02-22,8
20,20,0007AC2B31,000783DBAA,0 days 00:00:46,2019-02-22 15:41:45,2019-02-22 15:42:31,2019-02-22,8
21,21,0007AC2B31,000783DBAA,0 days 00:00:08,2019-02-22 15:45:06,2019-02-22 15:45:14,2019-02-22,8
22,22,0007AC2B31,000783DBAA,0 days 00:00:05,2019-02-22 15:45:25,2019-02-22 15:45:30,2019-02-22,8
23,23,0007AC2B31,000783DBAA,0 days 00:00:14,2019-02-22 15:45:38,2019-02-22 15:45:52,2019-02-22,8
24,24,0007AC2B31,000783CF1A,0 days 00:01:09,2019-02-22 15:46:01,2019-02-22 15:47:10,2019-02-22,8
25,25,0007AC2B31,000783DBAA,0 days 00:00:08,2019-02-22 15:46:04,2019-02-22 15:46:12,2019-02-22,8
26,26,0007AC2B31,000783DBAA,0 days 00:00:23,2019-02-22 15:46:18,2019-02-22 15:46:41,2019-02-22,8
27,27,0007AC2B31,000783DBAA,0 days 00:00:06,2019-02-22 15:47:38,2019-02-22 15:47:44,2019-02-22,8
28,28,000783CF1A,000783DBAA,0 days 00:00:08,2019-02-22 15:46:04,2019-02-22 15:46:12,2019-02-22,8
29,29,000783CF1A,000783DBAA,0 days 00:00:23,2019-02-22 15:46:18,2019-02-22 15:46:41,2019-02-22,8
0,0,0007AC2B31,000783CF1A,0 days 00:00:56,2019-02-23 07:15:13,2019-02-23 07:16:09,2019-02-23,8
1,1,0007AC2B31,000783DBAA,0 days 00:00:11,2019-02-23 07:45:30,2019-02-23 07:45:41,2019-02-23,8
2,2,0007AC2B31,000783DBAA,0 days 00:00:07,2019-02-23 07:46:25,2019-02-23 07:46:32,2019-02-23,8
3,3,0007AC2B31,000783CF1A,0 days 00:02:02,2019-02-23 08:36:02,2019-02-23 08:38:04,2019-02-23,8
4,4,0007AC2B31,0007AFE2EB,0 days 00:00:30,2019-02-23 10:13:36,2019-02-23 10:14:06,2019-02-23,8
5,5,0007AC2B31,000783DBAA,0 days 00:00:10,2019-02-23 10:14:18,2019-02-23 10:14:28,2019-02-23,8
6,6,0007AC2B31,000783DBAA,0 days 00:00:31,2019-02-23 10:14:49,2019-02-23 10:15:20,2019-02-23,8
7,7,0007AC2B31,000783DBAA,0 days 00:00:12,2019-02-23 10:15:34,2019-02-23 10:15:46,2019-02-23,8
8,8,0007AC2B31,000783CF1A,0 days 00:01:24,2019-02-23 11:19:38,2019-02-23 11:21:02,2019-02-23,8
9,9,0007AC2B31,000783DBAA,0 days 00:00:04,2019-02-23 12:00:36,2019-02-23 12:00:40,2019-02-23,8
10,10,0007AC2B31,000783CF1A,0 days 00:01:23,2019-02-23 12:38:33,2019-02-23 12:39:56,2019-02-23,8
11,11,0007AC2B31,000783DBAA,0 days 00:03:08,2019-02-23 12:39:38,2019-02-23 12:42:46,2019-02-23,8
12,12,000783CF1A,000783DBAA,0 days 00:00:18,2019-02-23 12:39:38,2019-02-23 12:39:56,2019-02-23,8
13,13,000783DBAA,0007AFE2EB,0 days 00:00:15,2019-02-23 13:02:28,2019-02-23 13:02:43,2019-02-23,8
14,14,000783DBAA,0007AFE2EB,0 days 00:00:18,2019-02-23 13:04:45,2019-02-23 13:05:03,2019-02-23,8
15,15,000783DBAA,0007AC2B31,0 days 00:03:26,2019-02-23 13:10:28,2019-02-23 13:13:54,2019-02-23,8
16,16,000783DBAA,0007ACBDD4,0 days 00:00:07,2019-02-23 13:10:33,2019-02-23 13:10:40,2019-02-23,8
17,17,000783DBAA,0007ACBDD4,0 days 00:00:40,2019-02-23 13:18:35,2019-02-23 13:19:15,2019-02-23,8
18,18,000783DBAA,0007AC2B31,0 days 00:03:08,2019-02-23 13:42:07,2019-02-23 13:45:15,2019-02-23,8
19,19,000783DBAA,0007AFE2EB,0 days 00:00:23,2019-02-23 13:43:33,2019-02-23 13:43:56,2019-02-23,8
20,20,000783DBAA,000783CF1A,0 days 00:01:05,2019-02-23 13:45:22,2019-02-23 13:46:27,2019-02-23,8
21,21,000783DBAA,0007AC2B31,0 days 00:05:46,2019-02-23 13:57:58,2019-02-23 14:03:44,2019-02-23,8
22,22,0007AC2B31,0007ACBDD4,0 days 00:00:07,2019-02-23 13:10:33,2019-02-23 13:10:40,2019-02-23,8
23,23,0007AC2B31,0007AFE2EB,0 days 00:00:23,2019-02-23 13:43:33,2019-02-23 13:43:56,2019-02-23,8
24,24,0007AC2B31,000783DBAA,0 days 00:00:25,2019-02-23 14:03:45,2019-02-23 14:04:10,2019-02-23,8
25,25,0007AC2B31,000783DBAA,0 days 00:00:09,2019-02-23 14:04:36,2019-02-23 14:04:45,2019-02-23,8
26,26,0007AC2B31,000783DBAA,0 days 00:00:20,2019-02-23 15:12:28,2019-02-23 15:12:48,2019-02-23,8
27,27,0007AC2B31,000783DBAA,0 days 00:00:29,2019-02-23 15:13:01,2019-02-23 15:13:30,2019-02-23,8
