id1,id2,aviary,occasion 
000783C25E,000783EF84,1,1
000783C25E,000783EF84,1,1
000783C25E,000783EF84,1,1
000783EF84,0007AC5F96,1,1
000783C25E,000783EF84,1,1
000783EF84,0007AC5F96,1,1
000783EF84,000783C25E,1,1
000783EF84,0007AC5F96,1,1
000783C25E,0007AC5F96,1,1
0007AC5F96,000783EF84,1,1
000783C25E,0007AC5F96,1,1
000783C25E,0007AC5F96,1,1
000783C25E,000783EF84,1,1
0007AC5F96,000783EF84,1,1
000783C25E,0007AC5F96,1,1
000783C25E,000783EF84,1,1
0007AC5F96,000783EF84,1,1
000783EF84,0007AC5F96,1,1
000783C25E,000783EF84,1,1
000783EF84,0007AC5F96,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783C25E,1,1
000783EF84,000783C25E,1,1
000783EF84,0007AC5F96,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
0007ACB9B7,0007AC5F96,1,1
000783C25E,000783EF84,1,1
000783EF84,0007AC5F96,1,1
000783C25E,0007AC5F96,1,1
000783EF84,0007AC5F96,1,1
000783EF84,0007AC5F96,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
000783EF84,0007AC5F96,1,1
000783C25E,000783EF84,1,1
000783C25E,0007AC5F96,1,1
000783EF84,0007AC5F96,1,1
000783EF84,0007AC5F96,1,1
000783C25E,000783EF84,1,1
000783EF84,0007AC5F96,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783C25E,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783EF84,1,1
0007AC5F96,000783C25E,1,1
000783EF84,000783C25E,1,1
000783EF84,000783C25E,1,1
0007ACC242,0007ACC242,1,1
0007B0F51D,0007B0F51D,1,1
0007B0F2B3,0007B0F2B3,1,1
0007AFE135,0007AFE135,1,1
0007AC2770,0007AC2770,1,1
0007AC80C0,0007AC80C0,1,1
0007B017A6,0007B017A6,1,1
000783E51D,000783E51D,1,1
0007B0C904,0007B0C904,1,1
00079D5182,000783A448,4,1
000783A448,0007B0493E,4,1
000783A448,000783C04D,4,1
00079D5182,000783C04D,4,1
000783C04D,0007B0493E,4,1
0007B0493E,00078394D9,4,1
00078394D9,0007ACD192,4,1
000783A448,00079D5182,4,1
000783C04D,000783A448,4,1
000783A448,000783C04D,4,1
000783C04D,00079D5182,4,1
00078394D9,000783C04D,4,1
000783C04D,000783A448,4,1
000783A448,0007ACD192,4,1
000783A448,0007B0493E,4,1
0007ACD192,0007B0493E,4,1
000783C04D,00078394D9,4,1
00079D5182,000783C04D,4,1
00079D5182,000783C04D,4,1
0007ACD192,000783A448,4,1
000783A448,00078394D9,4,1
0007ACD192,000783C04D,4,1
000783C04D,00079D5182,4,1
000783A448,000783C04D,4,1
000783C04D,0007B0493E,4,1
000783A448,0007B0493E,4,1
00079D5182,000783C04D,4,1
000783A448,0007ACD192,4,1
000783A448,00079D5182,4,1
0007ACD192,00079D5182,4,1
000783C04D,0007ACD192,4,1
0007ACD192,00078394D9,4,1
000783C04D,000783A448,4,1
000783C04D,0007ACD192,4,1
000783A448,00079D5182,4,1
00079D5182,000783A448,4,1
0007ACD192,0007B0493E,4,1
000783A448,00079D5182,4,1
000783A448,0007B0493E,4,1
0007B0493E,00079D5182,4,1
000783A448,00079D5182,4,1
0007ACD192,000783A448,4,1
000783A448,00079D5182,4,1
0007B0493E,000783A448,4,1
0007ACD192,000783A448,4,1
000783C04D,00079D5182,4,1
000783C04D,0007ACD192,4,1
0007ACD192,000783A448,4,1
0007B0493E,00078394D9,4,1
000783C04D,000783A448,4,1
000783C04D,00079D5182,4,1
000783A448,00079D5182,4,1
00079D5182,0007ACD192,4,1
000783C04D,0007ACD192,4,1
0007ACD192,00079D5182,4,1
000783A448,0007ACD192,4,1
00079D5182,0007ACD192,4,1
00079D5182,000783A448,4,1
000783C04D,000783A448,4,1
00079D5182,0007ACD192,4,1
00079D5182,0007ACD192,4,1
0007ACD92B,0007ACD92B,4,1
0007ACD040,0007ACD040,4,1
0007ACDAC3,0007ACDAC3,4,1
0007ACDC1C,0007ACDC1C,4,1
0007ABD4C1,0007ABD4C1,4,1
0007AC8F78,0007AC8F78,4,1
0007ABB45D,0007ABB45D,4,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
0007ACC9FC,00079D4DD3,7,1
00079D4DD3,0007AC60AD,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
000783A8B7,0007ACC9FC,7,1
0007ACC9FC,00079D4DD3,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
000783A8B7,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
000783A8B7,0007ACC9FC,7,1
000783A8B7,0007ACC9FC,7,1
0007ACC9FC,00079D4DD3,7,1
0007ACC9FC,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
000783A8B7,0007ACC9FC,7,1
0007ACC9FC,000783A8B7,7,1
000783A8B7,0007ACC9FC,7,1
000783A8B7,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,0007ACC9FC,7,1
00079D4DD3,0007ACC9FC,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
0007ACC9FC,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
00079D4DD3,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
0007ACC9FC,00079D4DD3,7,1
00079D4DD3,000783A8B7,7,1
0007ACC9FC,000783A8B7,7,1
00079D4DD3,000783A8B7,7,1
000783A8B7,00079D4DD3,7,1
000783A8B7,0007ACC9FC,7,1
00079D4DD3,000783A8B7,7,1
000783A8B7,00079D4DD3,7,1
000783A8B7,0007ACC9FC,7,1
0007B0C62E,0007B0C62E,7,1
0007B019EF,0007B019EF,7,1
0007AFE2EB,0007AFE2EB,7,1
0007AC3886,0007AC3886,7,1
0007839C52,0007839C52,7,1
0007ACC304,0007ACC304,7,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007B01CE3,10,1
0007ACD237,0007AC3EDE,10,1
0007B01CE3,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD286,10,1
0007ACD237,0007ACD286,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD286,10,1
0007AC3EDE,0007B01CE3,10,1
0007ACD237,0007ACD286,10,1
0007AC3EDE,0007ACD286,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD237,10,1
0007AC3EDE,0007ACD286,10,1
0007ACD237,0007ACD286,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007B01CE3,10,1
0007AC3EDE,0007ACD286,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007B01CE3,10,1
0007ACD237,0007B01CE3,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007B01CE3,0007ACD286,10,1
0007AC3EDE,0007ACD286,10,1
0007AC3EDE,0007ACD286,10,1
0007AC3EDE,0007ACD286,10,1
0007ACD237,0007AC3EDE,10,1
0007AC3EDE,0007ACD286,10,1
0007AC3EDE,0007ACD237,10,1
0007ACD237,0007AC3EDE,10,1
0007ACD237,0007AC3EDE,10,1
0007AC9993,0007AC9993,10,1
0007ACBDD4,0007ACBDD4,10,1
00078397BE,00078397BE,10,1
0007ABAE1D,0007ABAE1D,10,1
0007ACC7F7,0007ACC7F7,10,1
0007ACE29F,0007ACE29F,10,1
000783BFB7,000783BFB7,10,1
000783B4F3,000783B4F3,10,1
0007B04908,0007B04908,10,1
0007B0C693,0007B0C693,10,1
0007AFDEF7,0007AFDEF7,10,1
7839293,7839667,13,1
7839667,7839293,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839667,0007ACC752,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
0007ACC752,7839667,13,1
0007ACC752,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
7839293,7839667,13,1
0007ACC752,7839293,13,1
7839293,7839667,13,1
0007ACC752,7839667,13,1
7839667,0007ACC752,13,1
7839293,000783C8E4,13,1
0007ACC752,7839293,13,1
0007ACC752,7839667,13,1
7839293,0007ACC752,13,1
0007ACC752,7839293,13,1
0007ACC752,7839293,13,1
0007ACC752,7839293,13,1
7839293,7839667,13,1
0007ACC752,7839293,13,1
0007B0C85F,0007B0C85F,13,1
0007ABAEC7,0007ABAEC7,13,1
00079D5009,00079D5009,13,1
0007AC2B31,0007AC2B31,13,1
000783E0B3,000783E0B3,13,1
0007AC512E,0007AC512E,13,1
0007B046BA,0007B046BA,13,1
0007B045D8,0007B045D8,13,1
000783B3B0,0007B0F2C5,16,1
0007B0F2C5,0007AC2039,16,1
000783B3B0,0007AC2039,16,1
000783B3B0,0007B0F2C5,16,1
0007B0F2C5,0007AC2039,16,1
000783B3B0,0007B0F2C5,16,1
0007AC2039,0007B04C31,16,1
0007B01AEF,0007B0F2C5,16,1
0007AB9DDE,0007838EE2,16,1
0007838EE2,0007ABB698,16,1
0007838EE2,0007B0F2C5,16,1
0007ABB698,0007B0F2C5,16,1
0007B0F2C5,0007B04C31,16,1
0007838EE2,000783B3B0,16,1
0007ABB698,0007B04C31,16,1
0007B0F2C5,0007ABB698,16,1
000783B3B0,0007B0F2C5,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,0007B01AEF,16,1
0007AB9DDE,0007B01AEF,16,1
0007B0F2C5,0007AC2039,16,1
000783B3B0,0007B04C31,16,1
0007B0F2C5,0007ABB698,16,1
0007838EE2,000783B3B0,16,1
0007838EE2,0007AC2039,16,1
0007B0F2C5,0007AC6326,16,1
0007838EE2,0007AC2039,16,1
000783B3B0,0007B0F2C5,16,1
000783B3B0,0007B0F2C5,16,1
000783B3B0,0007B01AEF,16,1
0007B0F2C5,0007B04C31,16,1
0007B0F2C5,0007B04C31,16,1
0007B04C31,0007AC2039,16,1
000783B3B0,0007AC2039,16,1
0007B04C31,0007ABB698,16,1
0007B04C31,000783B3B0,16,1
000783B3B0,0007B0F2C5,16,1
0007AB9DDE,0007B0F2C5,16,1
000783B3B0,0007AC2039,16,1
0007AC6326,0007B04C31,16,1
0007AC6326,000783B3B0,16,1
0007AC6326,000783B3B0,16,1
0007B04C31,000783B3B0,16,1
0007B04C31,0007B0F2C5,16,1
0007B04C31,000783B3B0,16,1
0007B04C31,0007AC6326,16,1
000783B3B0,0007AC6326,16,1
000783B3B0,0007AC6326,16,1
0007ABB698,0007B04C31,16,1
0007AC6326,000783B3B0,16,1
0007B0F2C5,0007AC2039,16,1
0007B04C31,0007AC6326,16,1
000783B3B0,0007AC2039,16,1
0007AC2039,0007B04C31,16,1
0007B04C31,0007B0F2C5,16,1
000783B3B0,0007AC2039,16,1
0007B0F2C5,0007B04C31,16,1
0007B04C31,0007B01AEF,16,1
0007B04C31,0007ABB698,16,1
0007B04C31,0007ABB698,16,1
0007AC2039,0007B04C31,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,0007B0F2C5,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,0007B04C31,16,1
0007AC2039,0007ABB698,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,0007AC6326,16,1
0007AC2039,000783B3B0,16,1
0007AC2039,000783B3B0,16,1
0007B04C31,0007ABB698,16,1
000783B3B0,0007AC6326,16,1
0007AC6326,000783B3B0,16,1
000783B3B0,0007AC2039,16,1
000783B3B0,0007B0F2C5,16,1
0007B0F2C5,0007AC2039,16,1
0007B04C31,0007ABB698,16,1
0007B04C31,0007B01AEF,16,1
0007B01AEF,0007B04C31,16,1
0007B0F2C5,000783B3B0,16,1
000783B3B0,0007ABB698,16,1
0007ABB698,000783B3B0,16,1
0007B04C31,0007B0F2C5,16,1
0007B0F2C5,000783B3B0,16,1
0007B04C31,0007B01AEF,16,1
0007AC4FB1,0007AC4FB1,16,1
00079D5186,00079D5186,16,1
000783C204,000783C204,16,1
